name,drought2020,covidConfirmed,covidRecovered,covidDeaths,ag,food,urban,internet,severe_food_insecure,moderate_food_insecure,sanitation,water,poverty,disaster,land_deg,tuberculosis,malaria,death_air_pollution
Afghanistan,2.5,37599,27166,1375,125.4,125.4,25.5,11.4,22.7,60.8,43.4,67.1,,645670,8,189,29,49
Albania,,7654,3871,232,143.4,143.9,60.3,71.8,10,37.1,97.7,91,2,175935,8,18,,63
Algeria,,39444,27653,1391,151.5,151.7,72.6,47.7,9.3,17.6,87.6,93.6,,,1,69,0,35
Angola,2,1966,667,90,191.9,192.9,65.5,14.3,,,49.9,55.8,48,,20,355,228.9,30
Antarctica,,,,,,,,,,,,,,,,,,
Argentina,,305966,223531,6048,130.9,131,91.9,75.8,12.9,35.8,94.3,99.1,1,3081807,39,27,0,34
Armenia,,41846,34982,832,127.2,127.1,63.1,69.7,4.1,34.9,93.6,99.9,2,75515,2,31,0,75
Australia,,23989,14927,450,104.4,103.4,86,86.5,3.9,13.5,100,100,,92022,,6.6,0,16
Austria,,23829,20870,729,100.4,100.4,58.3,87.9,1.1,3.6,100,100,0,8502,,7.1,,39
Azerbaijan,,34474,32201,509,141.4,146.9,55.7,79,0.2,9.6,92.5,91.4,,,,63,0,48
Bahamas,,1424,203,20,130.6,130.6,83,85,,,94.9,98.9,,,,14,,22
Bangladesh,,282344,162825,3740,144.4,144,36.6,18,10.6,31.5,48.2,97,15,20916216,65,221,0.7,51
Belarus,,69673,67339,617,120,120.2,78.6,74.4,,,97.8,96.5,0,,1,31,,104
Belgium,,78897,18048,9959,101.1,100.6,98,87.7,3.6,10.8,99.5,100,0,,11,9,,39
Belize,,475,38,4,96.5,96.5,45.7,47.1,,,87.9,98,,556780,81,30,0,24
Benin,,2063,1690,39,152.6,159.2,47.3,14.1,,,16.5,66.4,,,53,56,386.2,48
Bhutan,,147,103,0,101.8,101.8,40.9,48.1,,,69.3,97.2,2,25405,10,149,0,47
Bolivia,,103019,38623,4172,146.6,147.9,69.4,43.8,,,60.7,92.8,5,3627913,18,108,1.4,33
Bosnia and Herz.,,16351,10279,495,118.1,118.6,48.2,69.5,1.5,9.2,95.4,96.1,,,4,25,,87
Botswana,,1308,136,3,119.8,120.1,69.4,41.4,41.2,66.7,77.3,90.3,,12595,51,275,0.6,27
Brazil,,3407354,2751246,109888,135.8,137.1,86.6,67.5,1.6,20.6,88.3,98.2,4,6920889,27,45,5.1,25
Brunei,,142,139,3,169.1,169.6,77.6,94.9,,,,99.9,,,,68,,9
Bulgaria,,14669,9699,519,114.4,117,75,63.4,1.9,12.5,86,99.1,1,36960,,22,,121
Burkina Faso,3,1280,1018,55,125.1,127.7,29.4,15.9,13.9,47.7,19.4,47.9,,544405,19,48,398.7,39
Burundi,1,416,336,1,107.8,120.3,13,5.6,,,45.8,60.8,,251823,29,111,250.3,38
Cambodia,,273,251,0,185.5,187.2,23.4,34,13.6,44.1,59.2,78.5,,1554131,33,302,23.7,32
Cameroon,1,18599,16540,406,175.2,181.8,56.4,23.2,,,39.1,60.4,,218668,0,186,247,62
Canada,,125084,111092,9090,113.1,113.8,81.4,92.7,,,99,99.4,,,,5.6,,15
Central African Rep.,3,4679,1755,61,121.9,119.9,41.4,4.3,,,25.3,46.3,,,13,540,347.1,62
Chad,2.5,,,,149.7,154.5,23.1,6.5,,,8.3,38.7,,,34,142,164.8,83
Chile,,388855,362440,10546,113.5,113.7,87.6,82.3,3.8,15.6,100,99.8,0,909166,1,18,,27
China,,89494,83408,4705,139.2,140.3,59.2,54.3,,,83.6,92.8,1,34078670,27,61,0,81
Colombia,,489122,312323,15619,115.2,116.2,80.8,62.3,,,89.6,97.3,4,8298382,7,33,8.5,26
Congo,,,,,137.8,138.1,66.9,8.7,,,20.2,73.2,,,10,375,235.1,33
Costa Rica,,29643,9462,314,129.4,132.3,79.3,71.6,5.4,25.5,97.8,99.7,1,1547634,9,10,0,21
Cote d'Ivoire,,17150,14183,110,127.5,128.5,50.8,43.8,,,32.1,72.9,,21362,14,142,330.6,53
Croatia,,6855,5318,166,120.7,121,56.9,67.1,0.9,10,96.5,99.6,1,7530,,8.4,,70
Cuba,,3408,2794,88,102.6,103.3,77,49.1,,,92.8,95.3,,5272,,7.2,,54
Cyprus,,1359,878,20,78.6,78.7,66.8,80.7,,,99.2,99.6,0,81501,19,5.4,,33
Czech Rep.,,20483,15146,401,100.1,100.3,73.8,78.7,0.4,3.7,99.1,99.9,0,821,6,5.4,,59
Dem. Rep. Congo,2,13552,10507,319,108.9,108.9,44.5,8.6,,,20.5,43.2,,,6,321,319.8,40
Dem. Rep. Korea,,,,,102.2,101.5,61.9,,,,83.2,94.5,,,,513,0.4,89
Denmark,,16246,13778,621,101.4,101.4,87.9,97.1,1.1,5.2,99.6,100,0,,,5.4,,30
Djibouti,3,5374,5216,59,133.1,133.1,77.8,55.7,,,63.6,75.6,17,,,260,35.2,43
Dominican Rep.,,87123,55504,1489,144.8,147.2,81.1,65,,,83.9,96.7,0,12349,,45,0.1,28
Ecuador,,102941,87183,6105,114.8,115.4,63.8,57.3,,,88,94,3,276355,30,44,3.3,18
Egypt,,96753,61562,5184,124.4,125.7,42.7,45,7.8,34.2,94.2,99.1,3,375131,1,12,0,70
El Salvador,3,23462,11179,625,111.5,118.2,72,31.3,14.6,42.4,87.4,97.4,2,350561,16,70,0,30
Eq. Guinea,,4821,2182,83,115.2,117.3,72.1,26.2,,,66.3,64.7,,2030,19,201,269,51
Eritrea,,304,261,0,104.4,104.3,40.1,1.3,,,11.9,51.8,,,35,89,28.9,43
Estonia,,2200,1990,63,127.7,127.7,68.9,88.1,0.9,7.4,99.1,99.7,0,2463,,13,,43
Ethiopia,2,32722,12938,572,163.5,162.3,20.8,18.6,14.1,57.9,7.3,41.1,,34916684,29,151,31.8,32
Falkland Is.,,,,,96.4,105.8,77.7,99,,,100,95,,,,,,
Fiji,,28,20,1,83.6,83.4,56.2,50,,,95.1,93.8,,441374,,54,,27
Finland,,7776,7050,334,97.3,97.3,85.4,87.5,2,7.7,99.4,100,0,4771,1,4.7,,19
Fr. S. Antarctic Lands,,,,,,,,,,,,,,,,,,
France,,256534,84214,30434,95.8,95.8,80.4,80.5,0.7,6,98.7,100,0,24504,12,8.9,,25
Gabon,,8270,6404,53,123.1,118.9,89.4,50.3,,,40.8,85.8,3,,16,525,248.2,34
Gambia,,2116,415,63,106,106,61.3,19.8,24.6,54.3,39.2,78,,744270,14,174,66,37
Georgia,,1351,1092,17,73.8,74.9,58.6,60.5,7.3,38.3,90,98.4,5,392,6,80,0,119
Germany,,228120,203677,9241,106.8,106.8,77.3,84.4,0.7,3.5,99.2,100,0,,,7.3,,45
Ghana,,42993,40796,248,152.6,152.7,56.1,37.9,8.4,51.1,18.5,81.5,13,90875,14,148,224.3,42
Greece,,7472,1347,232,92.7,94.8,79.1,69.9,,13.3,99,100,1,,16,4.5,,62
Greenland,,,,,97.8,97.7,86.8,69.5,2.3,,99.6,100,,,,100,,
Guatemala,2.5,63847,52370,2419,157.6,160.1,51.1,40.7,18.1,45.2,65.1,94.2,,556474,24,26,0.3,21
Guinea,1,8715,7532,52,134.6,135.4,36.1,11.4,49.7,75.1,22.7,61.9,,,11,176,283.9,41
Guinea-Bissau,,2117,1015,33,142.6,143.2,43.4,3.9,,,20.5,66.6,,3369,15,361,123.3,38
Guyana,,737,365,25,130,130.1,26.6,37.3,,,85.8,95.5,,336097,16,83,44.4,45
Haiti,2.5,7921,5235,196,154.6,155.8,55.3,12.3,,,34.7,65.6,,,,176,1.6,38
Honduras,3,51670,7661,1593,124.3,116.4,57.1,32.1,23.9,55,81.3,94.8,17,359971,,37,0.1,83
Hungary,,4970,3631,609,88.1,88.1,71.4,76.8,0.8,6.9,98,100,1,,13,6.4,,83
Iceland,,2027,1895,10,125.9,126.4,93.8,98.3,1.5,7.3,98.8,100,,,,2.7,,17
India,,2767253,2037816,52888,144.9,144.2,34,34.5,,,59.5,92.7,,,30,199,5.3,82
Indonesia,,143043,96306,6277,143.1,144.5,55.3,32.3,0.8,7,73.1,89.3,5,20638282,21,316,3.9,36
Iran,,347835,300881,19972,110.1,111,74.9,60.4,8.3,39.7,88.4,95.2,0,6991819,23,14,0,34
Iraq,,184709,131840,6036,74.9,74.3,70.5,49.4,,,94.1,96.5,,730339,26,42,0,34
Ireland,,27499,23364,1775,109.8,109.7,63.2,84.5,3.5,7,91.2,97.4,0,2099,,7,,20
Israel,,96409,71990,708,108.8,109.4,92.4,81.6,1.6,12.2,100,100,0,,,4,,23
Italy,,254636,204142,35405,91.6,91.8,70.4,61.3,1.1,7.3,98.8,99.4,1,,13,7,,49
Jamaica,,1146,770,14,105.1,105.7,55.7,48.8,,,87.3,90.6,,261904,,2.9,,23
Japan,,57636,42965,1135,92.1,92.4,91.6,90.9,0.7,3.1,99.9,99,,793338,,14,,43
Jordan,,1438,1243,11,145.3,145.4,91,66.8,,,97.3,98.9,,8994,4,5,,26
Kazakhstan,,103571,86286,1415,139.2,139.7,57.4,76.4,0.1,2.1,97.9,95.6,0,44581,36,68,0,48
Kenya,2,30636,17368,487,125.8,125.7,27,17.8,,,29.1,58.9,,299497,40,292,70.1,15
Korea,,16058,14006,306,102.8,103,81.5,95.1,0.4,5.1,100,99.8,,410802,,,,
Kosovo,,11545,7343,390,,,,,,,,,,45611,,,,
Kuwait,,77470,69243,505,190.6,191.1,100,98,4.9,12.3,100,100,,1,64,23,,37
Kyrgyzstan,,42146,34855,1498,116.9,120.3,36.4,38.2,0.8,6.3,96.5,87.5,1,44729,24,116,0,49
Lao PDR,,22,19,0,219.3,211.9,35,25.5,,,74.5,82.1,,3922858,,162,4.2,39
Latvia,,1323,1093,33,139.2,139.3,68.1,81.3,0.6,9.5,92.1,98.6,1,,13,29,,83
Lebanon,,9758,2852,107,89.1,88.9,88.6,78.2,,,98.5,92.6,,1422,,11,,52
Lesotho,2,946,271,30,95.6,94.9,28.2,29.8,27,49.7,42.8,68.6,27,,20,611,,48
Liberia,1,1282,803,82,113.3,135.7,51.2,8,60.4,88.5,17,72.9,41,,29,308,361.5,24
Libya,,9068,1003,164,116.7,117.1,80.1,21.8,16.8,35.9,99.7,96.8,,,,40,,43
Lithuania,,2474,1733,81,131.1,131.3,67.7,77.6,1.1,10.7,93.4,97.5,1,,3,44,,82
Luxembourg,,7499,6753,124,102.8,102.9,91,97.8,0.9,3.3,97.6,99.9,,,4,8,,23
Macedonia,,12970,9513,549,123.2,124.8,58,,,,,,,,,,,
Madagascar,1,14009,12767,173,118.3,119.4,37.2,9.8,,,10.5,54.4,,7689959,30,233,82.4,26
Malawi,1,5193,2716,163,146.3,150.9,16.9,13.8,51.8,82.2,26.6,68.8,70,34135590,17,181,213.6,17
Malaysia,,9219,8902,125,122.7,131.2,76,80.1,6.7,15.1,99.6,96.7,,1259663,16,92,0,30
Mali,2,2666,1990,125,171.3,175.8,42.4,12.7,,,39.8,78.3,,526983,3,53,386.8,41
Mauritania,2,6789,6051,157,120.2,120.2,53.7,20.8,22.4,44.8,48.4,70.7,,,3,93,39.4,44
Mexico,,531239,433809,57774,125.7,125.9,80.2,63.9,11.5,34.9,91.2,99.3,2,12525863,47,23,0.3,23
Moldova,,30789,21885,908,111.5,112.1,42.6,76.1,4,27.5,76.3,89.1,,,,,,
Mongolia,,298,281,0,161.4,163.9,68.4,23.7,5.9,27.5,58.5,83.3,1,307154,13,428,,49
Montenegro,,4132,3035,80,66.2,66.3,66.8,71.3,2.2,12.9,97.8,97,,32342,6,15,,77
Morocco,,44803,31002,714,121.6,121.8,62.5,61.8,,25.9,88.5,86.8,,176542,19,99,0,37
Mozambique,2,2991,1245,19,148.9,150.3,36,20.8,40.7,68.4,29.4,55.7,,4145440,,551,305.4,20
Myanmar,,,,,137,135.5,30.6,30.7,,,64.3,81.8,2,6251783,23,338,,48
N. Cyprus,,,,,,,,,,,,,,,,,,
Namibia,,4464,2407,37,93.1,93.7,50,36.8,31.3,56.4,34.5,82.5,,2185420,19,524,26.7,31
Nepal,,28257,17580,114,140.1,140.1,19.7,21.4,10.3,33.8,62.1,88.8,,13355737,,151,0.4,76
Netherlands,,65560,422,6197,117.8,117.9,91.5,93.2,1.7,5.1,97.7,100,0,,,5,,31
New Caledonia,,,,,105.3,105.5,70.7,82,,,100,99.3,,,,15,,
New Zealand,,1649,1531,22,117.3,119.2,86.5,90.8,4.5,14,100,100,,125821,,7.3,,14
Nicaragua,2,4311,2913,133,132.4,130.8,58.5,27.9,,,74.4,81.5,,163287,,41,7.1,18
Niger,2,1167,1079,69,172.7,172.9,16.4,10.2,,,13.6,50.3,,29743127,7,87,356.6,69
Nigeria,2,49895,37051,981,118.9,119.5,50.3,27.7,9.1,44.1,39.2,71.4,,,32,219,291.9,76
Norway,,10111,8857,262,107.1,107.2,82.2,96.5,1.1,4.9,98.1,100,0,20998,,4,,19
Oman,,83418,77977,597,143.7,144,84.5,80.2,,,100,91.9,,,7,6,0,20
Pakistan,,289832,269989,6190,127.6,130,36.7,15.5,,,59.9,91.5,,33541287,5,265,3.4,63
Palestine,,,,,87.5,87.5,76.2,65.2,4.4,26.3,,,1,10054,,,,
Panama,,82790,57191,1809,112.2,113.1,67.7,57.9,,,83.3,96.4,2,593979,14,52,,17
Papua New Guinea,,347,110,3,122.3,123.1,13.2,11.2,,,12.9,41.3,,127485,21,432,184.5,24
Paraguay,,10606,6402,161,163.9,170,61.6,61.1,,,89.8,99.6,2,1278694,52,43,0,20
Peru,,541493,374019,26481,150.1,153,77.9,48.7,,,74.3,91.1,3,20159789,,123,4.7,33
Philippines,,169213,112861,2687,113.4,113.8,46.9,60.1,17.6,55.3,76.5,93.6,,221558731,38,554,0.2,45
Poland,,57876,39643,1896,113.1,113.1,60.1,76,0.5,4.3,98.8,99.7,0,,5,16,,76
Portugal,,54448,39936,1784,107.9,108.2,65.2,73.8,2.9,10.6,99.6,99.9,0,,32,24,,28
Puerto Rico,,,,,102.2,104,93.6,72.8,,,,97.1,,,,1,,
Qatar,,115661,112355,193,165.9,165.9,99.1,95.9,,,100,99.6,,,6,31,,13
Romania,,72208,33135,3074,94.5,94.5,54,63.7,3.4,14.5,84.3,100,4,370068,2,68,,84
Russia,,930276,741045,15836,138.8,138.5,74.4,76,0.8,8.4,90.5,97.1,0,825699,6,54,,81
Rwanda,2,2577,1683,10,140.1,140.4,17.2,21.8,,,66.6,57.7,56,14476,12,59,486.5,24
S. Sudan,4,2490,1175,47,,,19.6,8,63.7,84.9,11.3,,,500,,146,235.9,45
Saudi Arabia,,301323,272911,3470,106.5,106.6,83.8,82.1,,,100,100,,,4,10,0,37
Senegal,1,12305,7767,256,144.8,146.2,47.2,29.6,16.7,40.7,51.5,80.7,,2814271,6,118,55.8,34
Serbia,,29890,0,681,105,105.2,56.1,70.3,2,12.4,95.5,85.5,6,318762,6,17,,75
Sierra Leone,1,1959,1529,69,194.8,197,42.1,13.2,31.8,81.4,15.7,60.8,40,27654,18,298,320.4,46
Slovakia,,2922,1980,31,98.1,98.2,53.7,81.6,0.8,5,97.9,99.8,1,40189,4,6,,55
Slovenia,,2456,2052,129,87.9,87.9,54.5,78.9,0.5,10.4,99.1,99.5,0,,5,5,,48
Solomon Is.,,,,,112.5,112.5,23.7,11.9,,,33.5,67.8,,28458,,74,133.6,17
Somalia,2.5,3257,2374,93,107.9,107.9,45,2,,,38.3,52.4,,232,23,262,34.3,56
Somaliland,,,,,,,,,,,,,,,,,,
South Africa,,592144,485468,12264,116.6,117.2,66.4,56.2,,,75.7,92.7,,39263,78,520,1.7,41
Spain,,364196,150376,28670,103.6,103.9,80.3,84.6,1.8,8.6,99.9,99.9,1,,18,9,,27
Sri Lanka,,2902,2755,11,128.1,131.2,18.5,34.1,,,95.8,89.4,1,12392697,36,64,0,27
Sudan,3,12485,6398,805,,,34.6,30.9,16.4,48.9,36.6,60.3,,53523813,12,71,46.8,56
Suriname,,3216,2196,54,146.5,146.5,66.1,48.9,,,84.5,95.4,,,21,38,0.3,39
Swaziland,,,,,,,,,,,,,,,,,,
Sweden,,85219,0,5790,100,99.9,87.4,96.4,1.2,5.8,99.3,100,0,2553,,6,,18
Switzerland,,38449,33500,1992,101.5,101.5,73.8,93.7,0.7,2.7,99.9,100,0,4677477,,6,,25
Syria,,1844,425,73,79.2,83.9,54.2,34.3,,,,97.2,,34157,,19,,43
Taiwan,,486,450,7,,,,,,,,,,,,,,
Tajikistan,2,8131,6935,65,159.3,177.4,27.1,22,,,97,81.2,,4375,97,84,0,50
Tanzania,2,509,183,21,165.5,168.2,33.8,16,,,,,,980480,,,124.3,
Thailand,,3382,3199,58,118.3,114.4,49.9,52.9,,,98.8,99.9,0,393936,21,153,0.4,49
Timor-Leste,,25,24,0,111.2,116.8,30.6,27.5,,,53.5,78.3,,292782,,498,0,24
Togo,,1173,868,27,142,145.4,41.7,12.4,,,16.1,65.1,,231009,12,36,267.3,45
Trinidad and Tobago,,629,140,12,96,96.2,53.2,77.3,,,93.4,98.2,,20,,21,,44
Tunisia,,2314,1370,57,117.1,117.2,68.9,55.5,9.1,20,90.9,96.3,,77038,13,35,,56
Turkey,,251805,232913,6016,129,131.2,75.1,64.7,,,97.3,98.9,0,1177141,9,16,0,46
Turkmenistan,,,,,102,108.4,51.6,21.3,,,98.9,91.5,,,22,46,0,50
Uganda,1,1603,1165,15,91.8,89.6,23.8,23.7,20.6,66.3,18.5,49.1,42,475252,22,200,289.2,32
Ukraine,,96653,50508,2152,153,153,69.4,57.1,1.6,18.3,96.2,93.8,0,420440,25,80,,124
United Arab Emirates,,,,,101,101.1,86.5,94.8,,,98.6,98,,,1,1,0,15
United Kingdom,,322177,1493,41466,103.1,103.1,83.4,94.6,1.3,5,99.1,100,0,,,8,,32
United States,,5482416,1898159,171821,116.5,118,82.3,75.2,0.8,8.5,100,99.3,1,2677747,,3,,24
Uruguay,,1485,1219,40,118.3,119.2,95.3,68.3,6.4,23.2,96.6,99.4,0,161036,26,33,,28
Uzbekistan,,36352,32062,242,166.5,184.5,50.5,52.3,2.8,17.2,100,97.8,,,29,70,0,46
Vanuatu,,,,,124,124,25.3,25.7,,,34.1,91.3,,1414,,46,4,20
Venezuela,,35697,24561,297,108.5,109.5,88.2,64.3,,,93.9,95.7,,403395,15,48,32.7,26
Vietnam,,989,526,26,138.4,135.5,35.9,49.6,0.4,6.3,83.5,94.7,2,2167177,31,182,0.1,36
W. Sahara,,,,,106.7,106.7,86.7,,,,,,,,19,,,
Yemen,3,1889,1052,537,140.9,141.4,36.6,26.7,,,59.1,63.5,,8596514,,48,45.8,55
Zambia,1,9981,8776,264,182.9,182.4,43.5,27.9,,,26.4,60,,280171,7,346,156.7,23
Zimbabwe,3,5378,4105,141,100.4,89.1,32.2,27.1,34.2,66.7,36.2,64.1,34,702363,36,210,,23